stoichiometry,overcoat_nm,tin_nm,dE00,flop45
0.96,82.0,300.0,0.869661852508,2.87264597816
0.96,98.0,300.0,4.51664500355,2.4305811563
1.04,82.0,300.0,5.99140852591,3.23977859096
1.04,98.0,300.0,2.0868252802,2.80132393393
0.96,90.0,280.0,2.88795187636,2.73207508917
0.96,90.0,320.0,2.88797810693,2.73194140494
1.04,90.0,280.0,3.7362679228,3.12590556827
1.04,90.0,320.0,3.73569413012,3.12632612856
1.0,82.0,280.0,2.19978304168,3.01280238355
1.0,82.0,320.0,2.19909208382,3.01312180615
1.0,98.0,280.0,1.76406349376,2.56560520123
1.0,98.0,320.0,1.76445513457,2.56569391421
1.0,90.0,300.0,0.0,2.87959172673
1.0,90.0,300.0,0.0,2.87959172673
1.0,90.0,300.0,0.0,2.87959172673
